Time,Operation,CPU,RAM
2023-01-03 00:20:46.144255,movies_start,3.0,57.0
2023-01-03 00:20:46.150132,movies_security_start,100.0,57.0
2023-01-03 00:20:46.166789,movies_security_end,71.4,57.1
2023-01-03 00:20:46.170038,movies_end,0.0,57.1
2023-01-03 00:20:46.179115,movies_start,100.0,57.1
2023-01-03 00:20:46.183507,movies_security_start,100.0,57.1
2023-01-03 00:20:46.192752,movies_security_end,66.7,57.1
2023-01-03 00:20:46.196285,movies_end,50.0,57.1
2023-01-03 00:20:46.203197,movies_start,100.0,57.1
2023-01-03 00:20:46.207437,movies_security_start,100.0,57.1
2023-01-03 00:20:46.218834,movies_security_end,83.3,57.1
2023-01-03 00:20:46.224561,movies_end,100.0,57.1
2023-01-03 00:20:46.231826,movies_start,100.0,57.1
2023-01-03 00:20:46.235741,movies_security_start,100.0,57.1
2023-01-03 00:20:46.243725,movies_security_end,100.0,57.2
2023-01-03 00:20:46.247622,movies_end,100.0,57.1
2023-01-03 00:20:46.255512,movies_start,100.0,57.1
2023-01-03 00:20:46.267195,movies_security_start,100.0,57.1
2023-01-03 00:20:46.274976,movies_security_end,100.0,57.2
2023-01-03 00:20:46.285078,movies_end,66.7,57.2
2023-01-03 00:20:46.294653,movies_start,100.0,57.2
2023-01-03 00:20:46.299238,movies_security_start,100.0,57.2
2023-01-03 00:20:46.308622,movies_security_end,66.7,57.2
2023-01-03 00:20:46.312535,movies_end,100.0,57.2
2023-01-03 00:20:46.319517,movies_start,100.0,57.2
2023-01-03 00:20:46.323274,movies_security_start,100.0,57.2
2023-01-03 00:20:46.332525,movies_security_end,100.0,57.2
2023-01-03 00:20:46.336646,movies_end,100.0,57.2
2023-01-03 00:20:46.344020,movies_start,66.7,57.2
2023-01-03 00:20:46.348325,movies_security_start,100.0,57.2
2023-01-03 00:20:46.356415,movies_security_end,100.0,57.2
2023-01-03 00:20:46.361886,movies_end,66.7,57.2
2023-01-03 00:20:46.370804,movies_start,100.0,57.2
2023-01-03 00:20:46.375563,movies_security_start,100.0,57.3
2023-01-03 00:20:46.388481,movies_security_end,100.0,57.3
2023-01-03 00:20:46.392163,movies_end,100.0,57.3
2023-01-03 00:20:46.400405,movies_start,66.7,57.2
2023-01-03 00:20:46.404263,movies_security_start,100.0,57.3
2023-01-03 00:20:46.411572,movies_security_end,100.0,57.3
2023-01-03 00:20:46.414397,movies_end,66.7,57.3
2023-01-03 00:20:46.420235,movies_start,0.0,57.2
2023-01-03 00:20:46.423704,movies_security_start,100.0,57.3
2023-01-03 00:20:46.430407,movies_security_end,100.0,57.3
2023-01-03 00:20:46.437268,movies_end,0.0,57.2
2023-01-03 00:20:46.443597,movies_start,66.7,57.2
2023-01-03 00:20:46.447695,movies_security_start,100.0,57.2
2023-01-03 00:20:46.456908,movies_security_end,75.0,57.2
2023-01-03 00:20:46.461014,movies_end,100.0,57.2
2023-01-03 00:20:46.468595,movies_start,100.0,57.2
2023-01-03 00:20:46.472103,movies_security_start,100.0,57.2
2023-01-03 00:20:46.478870,movies_security_end,100.0,57.2
2023-01-03 00:20:46.482299,movies_end,0.0,57.2
2023-01-03 00:20:46.489399,movies_start,50.0,57.2
2023-01-03 00:20:46.493541,movies_security_start,100.0,57.2
2023-01-03 00:20:46.501069,movies_security_end,50.0,57.2
2023-01-03 00:20:46.505296,movies_end,100.0,57.2
2023-01-03 00:20:46.515268,movies_start,66.7,57.2
2023-01-03 00:20:46.519639,movies_security_start,50.0,57.2
2023-01-03 00:20:46.528289,movies_security_end,66.7,57.2
2023-01-03 00:20:46.531078,movies_end,100.0,57.2
2023-01-03 00:20:46.538857,movies_start,100.0,57.2
2023-01-03 00:20:46.542650,movies_security_start,66.7,57.2
2023-01-03 00:20:46.550583,movies_security_end,100.0,57.3
2023-01-03 00:20:46.554130,movies_end,100.0,57.2
2023-01-03 00:20:46.562426,movies_start,100.0,57.2
2023-01-03 00:20:46.566084,movies_security_start,0.0,57.2
2023-01-03 00:20:46.576105,movies_security_end,66.7,57.2
2023-01-03 00:20:46.580945,movies_end,100.0,57.3
2023-01-03 00:20:46.587929,movies_start,100.0,57.3
